Episode,Reward
1,-121.00442548747961
2,-69.92763278649252
3,-333.4778725257914
4,-104.16004031301657
5,-150.48714134082212
6,-337.8582169195511
7,-351.0065036989224
8,-83.04562875202697
9,-140.61926541232253
10,-389.52977290758156
11,-239.78457592618682
12,-471.4619426372583
13,-136.57090496770843
14,-176.58490874995002
15,-442.6775712236916
16,-250.91889863800813
17,-487.75100157510053
18,-137.7540209984079
19,-270.8030346327198
20,-271.5062028644627
21,-75.45995460266144
22,-130.34593445757673
23,-93.47156291632696
24,-484.2894543108286
25,-104.26217625084651
26,-126.01969596232296
27,-55.41599084529961
28,-131.01721013712
29,-92.22480607585521
30,-97.32177496391108
31,-101.12168037959273
32,-111.48745449913284
33,-164.1879836091565
34,-128.1316268312009
35,-141.34767408162844
36,-221.55055067414253
37,-98.88313296154072
38,-165.89058158377318
39,-48.976907293792536
40,-82.20087782230388
41,-139.57713521944706
42,-226.221709466253
43,-220.99724158296362
44,-114.23221393732751
45,-70.8214398066462
46,-84.32954418026128
47,-78.0335715436382
48,-112.25660557096003
49,-91.96866857606061
50,-105.22466983124242
51,-97.11320925630105
52,-95.9050314349265
53,-124.12476334941515
54,-88.00486157985551
55,-204.63514406375646
56,-78.34806022598539
57,-69.73352673386331
58,-161.9099206195259
59,-62.044808019107236
60,-9.022880416182531
61,-106.03320125618117
62,-127.12111027299835
63,-66.00584392308375
64,-56.6056704922309
65,-76.55196066693713
66,-69.98204826479018
67,-45.443674891047934
68,-51.28424427605509
69,-107.58623333655939
70,-108.64193888121703
71,-69.11679595285352
72,-103.5406907012997
73,-122.50978049849942
74,-97.53923019997988
75,-90.03485128231188
76,-124.15869700395635
77,-48.45044326961052
78,-81.21606491327942
79,-99.6677261619547
80,-51.19307797071234
81,-90.67825858107739
82,-74.70465076849655
83,-47.16416754442564
84,-101.30886054873875
85,-221.24386840789907
86,-90.06844059580362
87,-77.93319717266108
88,-53.89020699699892
89,-53.956032264230174
90,-91.77600568454656
91,-161.6570540767848
92,-9.714525689337677
93,-61.322374805905376
94,-118.2318476875422
95,-66.341637072663
96,-63.817370281415265
97,-95.26077634016029
98,-84.20056478809012
99,-172.61236327082457
100,-52.199123898228805
101,-102.33968293872513
102,-112.46943355040055
103,-104.29895885225102
104,-65.01641113044613
105,-5.84353809358241
106,-58.82061688051669
107,-62.99669667120352
108,-1.7672142270153728
109,-70.78561341452647
110,-96.97548821938256
111,-19.36909341498415
112,-89.4587544134202
113,-28.539863753216352
114,-89.97399686552535
115,-67.0251784522623
116,-80.19738953134052
117,-109.23992123259947
118,-107.53111569178701
119,23.815681568215382
120,-65.21239131671359
121,-51.10049010066004
122,-26.325766461282626
123,69.5824326054672
124,-77.16686564243093
125,-111.23852271604153
126,22.167950762017185
127,-12.41909574189944
128,-60.62672365153076
129,-2.0878317422810824
130,-77.18166227700598
131,-119.4656155242874
132,-91.21511212956096
133,-71.59441493320315
134,-90.09425328769458
135,24.539300117334605
136,-53.71547299855963
137,-97.19677173031846
138,-72.67936163740825
139,11.363262585958566
140,-164.297571959405
141,-50.05703219349121
142,9.450968564598426
143,-50.4159274208221
144,-60.27498062343878
145,-91.24526441091814
146,-57.9990210621683
147,-30.165350483675937
148,-218.13757436789342
149,-85.51365269587463
150,-69.88413439020266
151,-91.2901086950348
152,-7.430810132467602
153,-43.53641669346427
154,-31.500135208643012
155,-128.30532128697422
156,-83.63394035464205
157,-3.0827834686056548
158,-10.513021267387352
159,-57.33191239711495
160,-76.85865086896086
161,48.65572643183921
162,12.302121417060178
163,16.5959137830243
164,15.047768267867653
165,-205.43810567187455
166,-19.18378593848179
167,-56.27581965573427
168,-18.772904300289753
169,-54.221305647074225
170,-6.059001767636232
171,19.56269598825213
172,-14.499838953850997
173,-74.0422463059131
174,-112.14395188815598
175,-177.02985780389548
176,-20.62812480135632
177,-57.84462325685849
178,-11.550835244997474
179,18.770894217829337
180,-50.46011891314615
181,8.475944123252674
182,24.90530892448561
183,-35.53723899283195
184,-82.5900686516118
185,-38.687971055784075
186,-50.77370020385659
187,-9.15694293722477
188,10.654616254613117
189,-21.97758223852352
190,31.064954704347798
191,-46.972429225977805
192,11.97630326373508
193,147.87950711099867
194,19.684014030388074
195,40.5795809860206
196,-78.6788583110376
197,10.007592567806764
198,-29.78358795930717
199,5.662701602359874
200,-104.4053304573051
201,-27.539496012843756
202,-21.63606919370362
203,15.855033679074145
204,-126.89728080753812
205,-7.412954131887453
206,-3.5983774088435867
207,-77.88285557258456
208,-28.459871189429705
209,22.172705134488794
210,14.810402751758232
211,21.253319364942218
212,-25.40060193833279
213,-6.321628843332711
214,64.93046069918125
215,95.87668652155435
216,-108.58354851892108
217,-35.98089142977453
218,46.9949049100621
219,-11.408681474698142
220,25.521072477480438
221,-7.265543903422471
222,-2.0071710005486123
223,22.334915735145806
